size,sortA,sortB,sortC
20000,1506564823,1157305,3177213
20000,1648081039,2132315,3766129
20000,1610785320,1128470,3132738
20000,1519002919,1129937,3112212
21000,1699271259,1182230,3935717
21000,1755239762,1181252,3259319
21000,1795850025,1196403,3276425
21000,1828743293,1176366,4874561
21000,1772662383,1171966,4075493
21000,1721137385,1318096,3826242
21000,1673350168,1168057,3536916
21000,1659043180,1587873,3551577
21000,1653595832,1176365,3139092
21000,1683094403,1162681,3141047
22000,1836082014,1262870,4044703
22000,1853785653,1258960,3530073
22000,1852799402,1203734,4831064
22000,2001712010,1280953,3518344
22000,1899738189,1215463,3430373
22000,1869046147,1387007,4100906
22000,1946555771,1218884,3475825
22000,1880677356,1506256,3716767
22000,1901704826,1516519,3945980
22000,1951976729,1665581,5180016
23000,2059633465,1295126,3881956
23000,2079488968,1554640,4193764
23000,2081842187,1255539,3854099
23000,2069906501,1268246,3835039
23000,2103665793,1255539,3905904
23000,2026730912,1278021,3704549
23000,2161377096,1604979,5158023
23000,2241290278,1317118,3671316
23000,2088561692,1255539,4053989
23000,2076976912,1313698,3802295
24000,2350159545,1356705,4106771
24000,2340818021,1388962,4097974
24000,2312193293,2516454,6652060
24000,2282620436,1997426,3971394
24000,2297577919,2540402,7441354
24000,2273020864,1448098,4257299
24000,2257352772,1347908,3982635
24000,2223302689,1360126,3908837
24000,2236903466,1612799,4218690
24000,2267045691,1355728,3962596
25000,2389406750,2035058,4770462
25000,2534669056,1412420,4127298
25000,2432215306,1437834,4491399
25000,2489517055,1455428,4383879
25000,2580254558,1418285,4325232
25000,2629032912,1425616,5696599
25000,2391856737,1446143,4336961
25000,2373826628,1415353,4218689
25000,2477755845,1547798,4189855
25000,2560987971,1449075,4240682
